,District,District Latitude,District Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
163,District 2,10.791115699999999,106.73672930000001,Shin Coffee,10.77440047854374,106.70522699179752,Café
164,District 2,10.791115699999999,106.73672930000001,Cháo Vịt Gốc Nhà Lá,10.816427104085777,106.71980414385891,Vietnamese Restaurant
165,District 2,10.791115699999999,106.73672930000001,Ocean Palace,10.787295716612684,106.70474432376915,Chinese Restaurant
166,District 2,10.791115699999999,106.73672930000001,The Alley Cocktail Bar & Kitchen,10.774759614740848,106.70060492162908,Speakeasy
167,District 2,10.791115699999999,106.73672930000001,Phong Cua - Cay Su Quan,10.820873654775315,106.72736287443178,Seafood Restaurant
168,District 2,10.791115699999999,106.73672930000001,Silverland Yen Hotel,10.774849922100469,106.69616040962687,Hotel
169,District 2,10.791115699999999,106.73672930000001,Vietnam Bike Tours®,10.802429141752336,106.70958280563354,Travel Agency
170,District 2,10.791115699999999,106.73672930000001,Gem Center,10.789916878682392,106.70221868447864,Convention Center
171,District 2,10.791115699999999,106.73672930000001,"Hum Vegetarian, Café & Restaurant",10.778750194659068,106.6922079986444,Vegetarian / Vegan Restaurant
172,District 2,10.791115699999999,106.73672930000001,The World Of Heineken,10.771902798403872,106.70411739070119,Museum
173,District 2,10.791115699999999,106.73672930000001,Club Lounge @ InterContinental Saigon,10.78097503871432,106.70096751156167,Hotel Bar
174,District 2,10.791115699999999,106.73672930000001,Hoa Túc,10.778288664098273,106.70381603492532,Vietnamese Restaurant
175,District 2,10.791115699999999,106.73672930000001,My Spa - Traditional Vietnamese Massage,10.779046879225639,106.70367131113892,Massage Studio
176,District 2,10.791115699999999,106.73672930000001,Cuc Gach Quan,10.790773351792526,106.69179532524467,Vietnamese Restaurant
177,District 2,10.791115699999999,106.73672930000001,Anan Saigon,10.771808718538466,106.70313081572672,Vietnamese Restaurant
178,District 2,10.791115699999999,106.73672930000001,CGV Cinemas Parkson Lê Thánh Tôn (CGV Cinemas Parkson Đồng Khởi),10.77743469711648,106.70230527261856,Multiplex
179,District 2,10.791115699999999,106.73672930000001,Quynh Nhu Foot Massage,10.77106984506357,106.70027692825936,Massage Studio
180,District 2,10.791115699999999,106.73672930000001,Starbucks Reserve Hàn Thuyên,10.778961394448013,106.69818512269273,Coffee Shop
181,District 2,10.791115699999999,106.73672930000001,Maison Marou Saigon,10.769666838302594,106.69792482483172,Dessert Shop
182,District 2,10.791115699999999,106.73672930000001,MO-MO-PARADISE,10.780167629552494,106.69562657759879,Hotpot Restaurant
183,District 2,10.791115699999999,106.73672930000001,ラーメン暖暮 ホーチミン店,10.779784386764398,106.70483920432739,Ramen Restaurant
184,District 2,10.791115699999999,106.73672930000001,Noir. Dining in the Dark Saigon,10.786484355854066,106.6946791134439,Asian Restaurant
185,District 2,10.791115699999999,106.73672930000001,Basilico,10.781410991549352,106.70124327057925,Italian Restaurant
186,District 2,10.791115699999999,106.73672930000001,Tandoor,10.77322885204423,106.70520410298867,Indian Restaurant
187,District 2,10.791115699999999,106.73672930000001,Quán Lộc Thành,10.772471815116436,106.69844093392584,Vietnamese Restaurant
188,District 2,10.791115699999999,106.73672930000001,QUI - Cuisine · Mixology,10.780721702050617,106.70475492533389,Lounge
189,District 2,10.791115699999999,106.73672930000001,Sofitel Saigon Plaza,10.784304912854651,106.70247525756285,Hotel
190,District 2,10.791115699999999,106.73672930000001,L'USINE,10.77315626505479,106.69997911472868,Café
191,District 2,10.791115699999999,106.73672930000001,Marcel Gourmet Burger,10.768935527285393,106.69849990202535,Burger Joint
192,District 2,10.791115699999999,106.73672930000001,Cục Gạch,10.792957067150258,106.68902047646318,Vietnamese Restaurant
193,District 2,10.791115699999999,106.73672930000001,Vesper's,10.777971011883501,106.70706013976277,Bar
194,District 2,10.791115699999999,106.73672930000001,Urban Kitchen + Bar,10.78109536022854,106.70638549438804,Restaurant
